District,Latitude,Longitude
กระนวน,16.70626,103.07909
ชนบท,16.08871,102.62187
ชุมแพ,16.544319,102.099586
ซำสูง,16.53365,103.06165
น้ำพอง	,16.72846,102.80249
บ้านฝาง	,16.453131,102.638252
บ้านแฮด,16.202129,102.750778
บ้านไผ่,16.070721,102.723671
พระยืน	,16.32455,102.64757
พล,15.81596,102.59867
ภูผาม่าน,16.66398,101.91317
ภูเวียง	,16.655,102.37703
มัญจาคีรี	,16.12687,102.54235
สีชมพู	,16.84889,102.18316
หนองนาคำ	,16.80032,102.34139
หนองสองห้อง	,15.73347,102.79559
หนองเรือ	,16.493231,102.433289
อุบลรัตน์,16.75267,102.63255
เขาสวนกวาง	,16.86593,102.87012
เปือยน้อย	,15.87,102.90857
เมืองขอนแก่น	,16.439625,102.828728
เวียงเก่า	,16.67737,102.29182
แวงน้อย	,15.80377,102.41599
แวงใหญ่	,15.95939,102.54785
โคกโพธิ์ไชย,16.08424,102.39863
โนนศิลา	,15.96656,102.68937